0b1010,4
0b00,2
0b01,2
0b100,3
0b1011,4
0b11010,5
0b1111000,7
0b11111000,8
0b1111110110,10
0b1111111110000010,16
0b1111111110000011,16
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b1100,4
0b11011,5
0b1111001,7
0b111110110,9
0b1111111000110,11
0b1111111110000100,16
0b1111111110000101,16
0b1111111110000110,16
0b1111111110000111,16
0b1111111110001000,16
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b11100,5
0b11111001,8
0b1111110111,10
0b111111110100,12
0b1111111110001001,16
0b1111111110001010,16
0b1111111110001011,16
0b1111111110001100,16
0b1111111110001101,16
0b1111111110001110,16
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b111010,6
0b111110111,9
0b111111110101,12
0b1111111110001111,16
0b1111111110100000,16
0b1111111110010001,16
0b1111111110010010,16
0b1111111110010011,16
0b1111111110010100,16
0b1111111110010101,16
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b111011,6
0b1111111000,10
0b1111111110010110,16
0b1111111110010111,16
0b1111111110011000,16
0b1111111110011001,16
0b1111111110011010,16
0b1111111110011011,16
0b1111111110011100,16
0b1111111110011101,16
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b1111010,7
0b11111110111,11
0b1111111110011110,16
0b1111111110011111,16
0b1111111110100000,16
0b1111111110100001,16
0b1111111110100010,16
0b1111111110100011,16
0b1111111110100100,16
0b1111111110100101,16
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b1111011,7
0b111111110110,12
0b1111111110100110,16
0b1111111110100111,16
0b1111111110101000,16
0b1111111110101001,16
0b1111111110101010,16
0b1111111110101011,16
0b1111111110101100,16
0b1111111110101101,16
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b11111010,8
0b111111110111,12
0b1111111110101110,16
0b1111111110101111,16
0b1111111110110000,16
0b1111111110110001,16
0b1111111110110010,16
0b1111111110110011,16
0b1111111110110100,16
0b1111111110110101,16
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b111111000,9
0b111111111000000,15
0b1111111110110110,16
0b1111111110110111,16
0b1111111110111000,16
0b1111111110111001,16
0b1111111110111010,16
0b1111111110111011,16
0b1111111110111100,16
0b1111111110111101,16
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b111111001,9
0b1111111110111110,16
0b1111111110111111,16
0b1111111111000000,16
0b1111111111000001,16
0b1111111111000010,16
0b1111111111000011,16
0b1111111111000100,16
0b1111111111000101,16
0b1111111111000110,16
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b111111010,9
0b1111111111000111,16
0b1111111111001000,16
0b1111111111001001,16
0b1111111111001010,16
0b1111111111001011,16
0b1111111111001100,16
0b1111111111001101,16
0b1111111111001110,16
0b1111111111001111,16
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b1111111001,10
0b1111111111010000,16
0b1111111111010001,16
0b1111111111010010,16
0b1111111111010011,16
0b1111111111010100,16
0b1111111111010101,16
0b1111111111010110,16
0b1111111111010111,16
0b1111111111011000,16
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b1111111010,10
0b1111111111011001,16
0b1111111111011010,16
0b1111111111011011,16
0b1111111111011100,16
0b1111111111011101,16
0b1111111111011110,16
0b1111111111011111,16
0b1111111111100000,16
0b1111111111100001,16
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b11111111000,11
0b1111111111100010,16
0b1111111111100011,16
0b1111111111100100,16
0b1111111111100101,16
0b1111111111100110,16
0b1111111111100111,16
0b1111111111101000,16
0b1111111111101001,16
0b1111111111101010,16
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b1111111111101011,16
0b1111111111101100,16
0b1111111111101101,16
0b1111111111101110,16
0b1111111111101111,16
0b1111111111110000,16
0b1111111111110001,16
0b1111111111110010,16
0b1111111111110011,16
0b1111111111110100,16
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b0,0
0b11111111001,11
0b1111111111110101,16
0b1111111111110110,16
0b1111111111110111,16
0b1111111111111000,16
0b1111111111111001,16
0b1111111111111010,16
0b1111111111111011,16
0b1111111111111100,16
0b1111111111111101,16
0b1111111111111110,16
0b0,0
